"FieldName","ValidationStatus","ClassName","LineContent","LineNo","FilePath","RepoName"
"transactionresponse.acquirerresponsecode","VALID","ElavonResponseToMegaJsonMapper","else if ( response.transactionResponse().acquirerResponseCode().equalsIgnoreCase( ""82"" ) ) {","340","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.acquirerresponsecode","VALID","ElavonResponseToMegaJsonMapper","else if ( response.transactionResponse().acquirerResponseCode().equalsIgnoreCase( ""83"" ) ) {","344","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.merchantadvicecode","VALID","ElavonResponseToMegaJsonMapper","response.transactionResponse().merchantAdviceCode( merchantAdviceCode.get() );","348","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"merchantacquirerrelationship.merchantacquirercustomfields.customrules","NOT_IN_CONVENTIONS","ElavonTxnContext",".merchantAcquirerRelationship().merchantAcquirerCustomFields().customRules() )","60","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonTxnContext.java","acqelavons2aservice"
"transaction.acceptpartialapproval","VALID","ElavonTxnContext","return Optional.ofNullable( transactionRequest.transaction().acceptPartialApproval() )","73","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/ElavonTxnContext.java","acqelavons2aservice"
"merchant.submerchant","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","import com.mastercard.gateway.acquiring.megajson.transactionrequest.merchantcontext.merchant.SubMerchant;","45","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.associatedtransaction","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","import com.mastercard.gateway.acquiring.megajson.transactionrequest.transaction.AssociatedTransaction;","46","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.billingaddress","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","import com.mastercard.gateway.acquiring.megajson.transactionrequest.transaction.BillingAddress;","47","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.ordercertainty","VALID","MegaJsonToElavonMessageMapper","if ( ESTIMATED == transactionContext.request().transaction().orderCertainty() ) {","67","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.cardnumber","VALID","MegaJsonToElavonMessageMapper","isoMessage.set( getFieldId(), transactionContext.request().transaction().cardNumber() );","104","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.ordercertainty","VALID","MegaJsonToElavonMessageMapper","if ( ESTIMATED == transactionContext.request().transaction().orderCertainty() ) {","117","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.ordercertainty","VALID","MegaJsonToElavonMessageMapper","if ( ESTIMATED == transactionContext.request().transaction().orderCertainty() ) {","123","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.ordercertainty","VALID","MegaJsonToElavonMessageMapper","if ( ESTIMATED == transactionContext.request().transaction().orderCertainty() ) {","130","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.ordercertainty","VALID","MegaJsonToElavonMessageMapper","&& ESTIMATED == transactionContext.request().transaction().orderCertainty() ) {","136","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.stan","VALID","MegaJsonToElavonMessageMapper","String stan = Optional.ofNullable( transactionContext.request().transaction().stan() )","184","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.cardexpirydate","VALID","MegaJsonToElavonMessageMapper","isoMessage.set( getFieldId(), transactionContext.request().transaction().cardExpiryDate() );","216","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.rrn","VALID","MegaJsonToElavonMessageMapper","isoMessage.set( getFieldId(), transactionContext.request().transaction().rrn() );","393","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"associatedtransaction.authorisationid","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","transactionContext.request().transaction().associatedTransaction().authorisationId() );","403","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.terminalid","VALID","MegaJsonToElavonMessageMapper","isoMessage.set( getFieldId(), transactionContext.request().transaction().terminalId() );","412","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchantacquirerrelationship","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","transactionContext.request().merchantContext().merchantAcquirerRelationship()","421","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","Merchant m = transactionContext.request().merchantContext().merchant();","430","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchant.id","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper",".hasAll( s -> m.subMerchant(), SubMerchant::id, SubMerchant::tradingName,","433","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchant.stateprovince","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","SubMerchant::stateProvince ) ) {","434","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"submerchant.street","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","Optional.ofNullable( m.subMerchant().street() ).orElse( """" ) );","437","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"submerchant.street2","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","if ( m.subMerchant().street2() != null ) {","438","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"submerchant.street2","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","street.append( "" "" + m.subMerchant().street2() );","439","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"submerchant.tradingname","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","StringUtils.trimToEmpty( m.subMerchant().tradingName() ),","442","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"submerchant.city","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","StringUtils.trimToEmpty( m.subMerchant().city() ),","443","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"submerchant.country","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","StringUtils.trimToEmpty( m.subMerchant().country() ),","444","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"submerchant.postcode","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","StringUtils.trimToEmpty( m.subMerchant().postCode() ),","446","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"submerchant.stateprovince","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","StringUtils.trimToEmpty( m.subMerchant().stateProvince() ) ) );","447","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchant.name","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper",".hasAll( merchant -> m, Merchant::name, Merchant::city ) ) {","450","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
